timestamp,temperature_c,relative_humidity_pct,precipitation_mm,rain_mm,et0_mm,vpd_kpa,shortwave_radiation_w_m2
2021-01-01 00:00:00,24.9,85,0.1,0.1,0.08,0.46,0.0
2021-01-01 01:00:00,24.8,86,0.2,0.2,0.07,0.43,0.0
2021-01-01 02:00:00,24.8,85,0.2,0.2,0.08,0.48,0.0
2021-01-01 03:00:00,24.8,86,0.1,0.1,0.07,0.45,0.0
2021-01-01 04:00:00,24.8,85,0.1,0.1,0.08,0.47,0.0
2021-01-01 05:00:00,25.0,84,0.0,0.0,0.08,0.52,0.0
2021-01-01 06:00:00,25.1,84,0.0,0.0,0.08,0.52,0.0
2021-01-01 07:00:00,25.2,83,0.0,0.0,0.11,0.55,42.0
2021-01-01 08:00:00,25.4,82,0.1,0.1,0.13,0.57,70.0
2021-01-01 09:00:00,25.5,84,0.0,0.0,0.21,0.53,325.0
2021-01-01 10:00:00,25.3,85,0.0,0.0,0.26,0.47,470.0
2021-01-01 11:00:00,25.3,85,0.0,0.0,0.27,0.48,510.0
2021-01-01 12:00:00,25.5,85,0.1,0.1,0.26,0.49,467.0
2021-01-01 13:00:00,25.4,86,0.1,0.1,0.24,0.46,437.0
2021-01-01 14:00:00,25.3,86,0.1,0.1,0.24,0.45,441.0
2021-01-01 15:00:00,25.4,86,0.1,0.1,0.19,0.46,293.0
2021-01-01 16:00:00,25.1,87,0.1,0.1,0.15,0.4,221.0
2021-01-01 17:00:00,24.9,88,0.3,0.3,0.1,0.39,72.0
2021-01-01 18:00:00,24.7,88,0.4,0.4,0.07,0.36,10.0
2021-01-01 19:00:00,24.9,87,5.4,5.4,0.06,0.4,0.0
2021-01-01 20:00:00,25.2,85,0.5,0.5,0.07,0.47,0.0
2021-01-01 21:00:00,25.3,85,0.3,0.3,0.08,0.47,0.0
2021-01-01 22:00:00,25.2,87,0.2,0.2,0.06,0.42,0.0
2021-01-01 23:00:00,25.2,87,0.1,0.1,0.07,0.42,0.0
2021-01-02 00:00:00,25.1,88,0.2,0.2,0.06,0.39,0.0
2021-01-02 01:00:00,25.0,89,0.6,0.6,0.05,0.34,0.0
2021-01-02 02:00:00,25.4,85,0.8,0.8,0.07,0.48,0.0
