model,seed,evaluation_split,result_status,reward_version,training_device,inference_device,checkpoint_validation_gate,new_interactions,base_anchor_interactions,effective_total_interactions,checkpoint,checkpoint_sha256,total_irrigation_mm,time_in_target_pct,violation_rate_pct,rmse_band,action_smoothness,deficit_rate_pct,surplus_rate_pct,drainage_total_mm,runoff_total_mm,mean_soil_moisture,max_abs_mass_balance_error_mm,cumulative_reward
DDPG,11,retrospective_final_benchmark_2025,CONFIRMATORY,reward_v4,cuda,cpu,False,6720,0,6720,Checkpoints/DDPG/ddpg_seed11_best.pt,81881271ec4156996b4edb6c291f85be94d384f237660af8fb8eaf3e254a31f4,0.0004227459430694,29.8972602739726,70.1027397260274,0.0312326720670655,5.9305226534710505e-08,33.68721461187214,36.41552511415525,686.2464476807277,0.0,0.2714833601776159,1.4210854715202004e-14,-26020.150857425844
DDPG,22,retrospective_final_benchmark_2025,CONFIRMATORY,reward_v4,cuda,cpu,False,6720,0,6720,Checkpoints/DDPG/ddpg_seed22_best.pt,bcd91561238eb78ae8ad52baac85544a21c79cc99eff484392913c7a9e4297a5,167.9190529882908,41.05022831050229,58.94977168949772,0.0269923026810603,0.0108367148797415,20.308219178082197,38.641552511415526,732.8568142458032,0.0,0.2879984252246873,1.4210854715202004e-14,-14767.435569608053
DDPG,33,retrospective_final_benchmark_2025,CONFIRMATORY,reward_v4,cuda,cpu,False,6720,0,6720,Checkpoints/DDPG/ddpg_seed33_best.pt,6a7fabbee54534745bb8b1a43e196f6019d7f895efd788c75b23feda6f924efe,0.0002762675285339,29.8972602739726,70.1027397260274,0.0312326867738357,4.0659636092357466e-08,33.68721461187214,36.41552511415525,686.2464970606827,0.0,0.2714833502375605,1.4210854715202004e-14,-26020.16971297568
DDPG,44,retrospective_final_benchmark_2025,CONFIRMATORY,reward_v4,cuda,cpu,True,6720,0,6720,Checkpoints/DDPG/ddpg_seed44_best.pt,262ab9bc1f3f94023dd9d19d8a6d4166873a90a2f9ac3219f326ae2875790fb4,333.9664838016033,55.5365296803653,44.4634703196347,0.021865801968489,0.0145540551169439,0.0,44.4634703196347,761.0993007288388,0.0,0.3179261320159777,1.4210854715202004e-14,-1088.6716224592546
DDPG,55,retrospective_final_benchmark_2025,CONFIRMATORY,reward_v4,cuda,cpu,True,6720,0,6720,Checkpoints/DDPG/ddpg_seed55_best.pt,85c2a567732b28762b6d859be975236f4071ef3bcdfa2fd31d9cb27b19cb01f9,364.2010018527508,53.60730593607306,46.39269406392694,0.0222316461812485,0.0201711348439885,0.0,46.39269406392694,791.1577007636931,0.0,0.3194541573589446,1.4210854715202004e-14,-1732.536563944781
DDPG,66,retrospective_final_benchmark_2025,CONFIRMATORY,reward_v4,cuda,cpu,True,6720,0,6720,Checkpoints/DDPG/ddpg_seed66_best.pt,c998fdb9a177131fc6f2a1fef33b7cb4f9e7786b8df46cc6f1e9883a593b5295,336.00480845570564,55.03424657534246,44.965753424657535,0.021877295376475,0.0255284491351837,0.0,44.965753424657535,763.1438283669088,0.0,0.3130708393311201,1.4210854715202004e-14,-1184.0264090824803
DDPG,77,retrospective_final_benchmark_2025,CONFIRMATORY,reward_v4,cuda,cpu,True,6720,0,6720,Checkpoints/DDPG/ddpg_seed77_best.pt,e22394c991c5a25e69a949e5db435ea24db030de6d373b01cb1b31815e40fdcf,312.98318073153496,58.07077625570777,41.92922374429224,0.0214666581876712,0.016539560147978,0.0,41.92922374429224,748.9097653563442,0.0,0.3054677120437029,1.4210854715202004e-14,-122.32165420052934
DDPG,88,retrospective_final_benchmark_2025,CONFIRMATORY,reward_v4,cuda,cpu,False,6720,0,6720,Checkpoints/DDPG/ddpg_seed88_best.pt,92323fd385e46cda48de07c67a13d7540b95ba00f85ad294d2cfa485a6dda5d8,0.0124639272689819,29.8972602739726,70.1027397260274,0.0312320529662723,1.4497797188931424e-06,33.68721461187214,36.41552511415525,686.247730104545,0.0,0.2714840586504935,1.4210854715202004e-14,-26019.28447226321
DDPG,99,retrospective_final_benchmark_2025,CONFIRMATORY,reward_v4,cuda,cpu,False,6720,0,6720,Checkpoints/DDPG/ddpg_seed99_best.pt,269a465058b0bed2f450e8c122a53616d3b4a691b0b0f2c7703da850b54f7ab6,0.001411885023117,29.8972602739726,70.1027397260274,0.0312326370589924,2.3215121092732634e-07,33.68721461187214,36.41552511415525,686.2466268271918,0.0,0.2714834178551109,1.4210854715202004e-14,-26020.089311199303
DDPG,110,retrospective_final_benchmark_2025,CONFIRMATORY,reward_v4,cuda,cpu,False,6720,0,6720,Checkpoints/DDPG/ddpg_seed110_best.pt,9b6a3eb88baebffdd4cb3e1f53121a7f33de9a3007663ad9ed691b9082e31e82,0.0001868605613708,29.8972602739726,70.1027397260274,0.0312326877528389,3.4569196878523164e-08,33.68721461187214,36.41552511415525,686.2464548476742,0.0,0.2714833443475611,1.4210854715202004e-14,-26020.172510499
TD3,11,retrospective_final_benchmark_2025,CONFIRMATORY,reward_v4,cuda,cpu,False,6720,0,6720,Checkpoints/TD3/td3_seed11_best.pt,3ce1c3cd092c72107f3d141a11e66628f47a30020fe9fcd592a321a0f2e2f724,362.9332956969738,53.53881278538813,46.46118721461187,0.0222617713954794,0.0169168330277328,0.0,46.46118721461187,790.2942122976892,0.0,0.3194911221778379,2.8421709430404014e-14,-1833.912981478281
TD3,22,retrospective_final_benchmark_2025,CONFIRMATORY,reward_v4,cuda,cpu,True,6720,0,6720,Checkpoints/TD3/td3_seed22_best.pt,ced943bafa3b4e3fc755f0de7981136338d6ab8b8832e2781ee2da887a3b5b24,352.46424090862274,54.06392694063927,45.93607305936073,0.0221263411757544,0.0136468182695906,0.0,45.93607305936073,779.4382707966471,0.0,0.3171288521814641,1.4210854715202004e-14,-1616.2409392273084
TD3,33,retrospective_final_benchmark_2025,CONFIRMATORY,reward_v4,cuda,cpu,False,6720,0,6720,Checkpoints/TD3/td3_seed33_best.pt,9797a71ddbb5296d5c4b621a47a10ed5e8f2ca1e048b3d0b5eb8785896dcfd99,0.0015901029109954,29.8972602739726,70.1027397260274,0.0312326561404595,2.182690924957934e-07,33.68721461187214,36.41552511415525,686.2470287420458,0.0,0.2714834289756707,1.4210854715202004e-14,-26020.122363379745
TD3,44,retrospective_final_benchmark_2025,CONFIRMATORY,reward_v4,cuda,cpu,False,6720,0,6720,Checkpoints/TD3/td3_seed44_best.pt,73f88b2b9924aefcb0bf3f37bf71f24f0bac1df9f23f4afd675fe99d7b2bd538,366.9730603694916,51.24429223744292,48.75570776255708,0.0223658292998365,0.0108586366195114,0.0,48.75570776255708,793.2537255369735,0.0,0.323395601382733,2.8421709430404014e-14,-2442.9409848550085
TD3,55,retrospective_final_benchmark_2025,CONFIRMATORY,reward_v4,cuda,cpu,False,6720,0,6720,Checkpoints/TD3/td3_seed55_best.pt,fbd53c657caad392edbe7cd0ad716e2291aee90a20fa0ef6cae097b5db7867a1,367.8567791879177,52.63698630136986,47.36301369863013,0.022382536658515,0.0104176117814775,0.0,47.36301369863013,794.7912166765421,0.0,0.3215638946410628,2.8421709430404014e-14,-2147.55767836892
TD3,66,retrospective_final_benchmark_2025,CONFIRMATORY,reward_v4,cuda,cpu,False,6720,0,6720,Checkpoints/TD3/td3_seed66_best.pt,2c92118f55708a6dbeece708fd6754d2592a48cec42c8781f2f53191f34669fa,0.0166785717010498,29.8972602739726,70.1027397260274,0.0312320215782199,2.3097735532465992e-06,33.68721461187214,36.41552511415525,686.2490353985895,0.0,0.27148436322313,1.4210854715202004e-14,-26019.103946198804
TD3,77,retrospective_final_benchmark_2025,CONFIRMATORY,reward_v4,cuda,cpu,True,6720,0,6720,Checkpoints/TD3/td3_seed77_best.pt,802b4d6559605461e8648692c4362aa407c485367ae56e7cb6c0dfb014c592ab,311.22181686758995,57.53424657534247,42.465753424657535,0.0214151912144308,0.0180509054153147,0.0,42.465753424657535,743.199007574178,0.0,0.308290036216615,1.4210854715202004e-14,-234.1742608417653
TD3,88,retrospective_final_benchmark_2025,CONFIRMATORY,reward_v4,cuda,cpu,False,6720,0,6720,Checkpoints/TD3/td3_seed88_best.pt,2408e5fb4331038127a6dcc776aea31d5b44a077cc9b5fc363f9d15e73779068,0.0156587362289428,29.8972602739726,70.1027397260274,0.0312320761507249,2.129612236837367e-06,33.68721461187214,36.41552511415525,686.2495940206222,0.0,0.2714842417306942,1.4210854715202004e-14,-26019.257473212063
TD3,99,retrospective_final_benchmark_2025,CONFIRMATORY,reward_v4,cuda,cpu,False,6720,0,6720,Checkpoints/TD3/td3_seed99_best.pt,06636fecf4c2b5d9a9f537aa375bc674bcd1c48c2d23331cfb327ece50ce4508,0.0418348610401153,29.8972602739726,70.1027397260274,0.0312310130497319,5.448221112375513e-06,33.68721461187214,36.41552511415525,686.2536389458226,0.0,0.2714858744293276,1.4210854715202004e-14,-26017.572151221288
