model,seed,forecast,memory,reward_version,training_device,selected_episode,validation_gate,losses_finite,new_interactions,base_anchor_interactions,effective_total_interactions,checkpoint_selection,benchmark_used_for_selection,history_residual_norm,forecast_residual_norm,zero_history_action_delta_mm,zero_forecast_action_delta_mm,common_support_hash,checkpoint,checkpoint_sha256
DDPG,11,False,False,reward_v4,cuda,20,False,True,6720,0,6720,validation_2024_gate_target_water_rmse,False,,,,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/DDPG/ddpg_seed11_best.pt,81881271ec4156996b4edb6c291f85be94d384f237660af8fb8eaf3e254a31f4
DDPG,22,False,False,reward_v4,cuda,15,False,True,6720,0,6720,validation_2024_gate_target_water_rmse,False,,,,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/DDPG/ddpg_seed22_best.pt,bcd91561238eb78ae8ad52baac85544a21c79cc99eff484392913c7a9e4297a5
DDPG,33,False,False,reward_v4,cuda,20,False,True,6720,0,6720,validation_2024_gate_target_water_rmse,False,,,,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/DDPG/ddpg_seed33_best.pt,6a7fabbee54534745bb8b1a43e196f6019d7f895efd788c75b23feda6f924efe
DDPG,44,False,False,reward_v4,cuda,20,True,True,6720,0,6720,validation_2024_gate_target_water_rmse,False,,,,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/DDPG/ddpg_seed44_best.pt,262ab9bc1f3f94023dd9d19d8a6d4166873a90a2f9ac3219f326ae2875790fb4
DDPG,55,False,False,reward_v4,cuda,20,True,True,6720,0,6720,validation_2024_gate_target_water_rmse,False,,,,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/DDPG/ddpg_seed55_best.pt,85c2a567732b28762b6d859be975236f4071ef3bcdfa2fd31d9cb27b19cb01f9
DDPG,66,False,False,reward_v4,cuda,20,True,True,6720,0,6720,validation_2024_gate_target_water_rmse,False,,,,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/DDPG/ddpg_seed66_best.pt,c998fdb9a177131fc6f2a1fef33b7cb4f9e7786b8df46cc6f1e9883a593b5295
DDPG,77,False,False,reward_v4,cuda,20,True,True,6720,0,6720,validation_2024_gate_target_water_rmse,False,,,,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/DDPG/ddpg_seed77_best.pt,e22394c991c5a25e69a949e5db435ea24db030de6d373b01cb1b31815e40fdcf
DDPG,88,False,False,reward_v4,cuda,15,False,True,6720,0,6720,validation_2024_gate_target_water_rmse,False,,,,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/DDPG/ddpg_seed88_best.pt,92323fd385e46cda48de07c67a13d7540b95ba00f85ad294d2cfa485a6dda5d8
DDPG,99,False,False,reward_v4,cuda,20,False,True,6720,0,6720,validation_2024_gate_target_water_rmse,False,,,,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/DDPG/ddpg_seed99_best.pt,269a465058b0bed2f450e8c122a53616d3b4a691b0b0f2c7703da850b54f7ab6
DDPG,110,False,False,reward_v4,cuda,20,False,True,6720,0,6720,validation_2024_gate_target_water_rmse,False,,,,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/DDPG/ddpg_seed110_best.pt,9b6a3eb88baebffdd4cb3e1f53121a7f33de9a3007663ad9ed691b9082e31e82
TD3,11,False,False,reward_v4,cuda,20,False,True,6720,0,6720,validation_2024_gate_target_water_rmse,False,,,,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/TD3/td3_seed11_best.pt,3ce1c3cd092c72107f3d141a11e66628f47a30020fe9fcd592a321a0f2e2f724
TD3,22,False,False,reward_v4,cuda,15,True,True,6720,0,6720,validation_2024_gate_target_water_rmse,False,,,,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/TD3/td3_seed22_best.pt,ced943bafa3b4e3fc755f0de7981136338d6ab8b8832e2781ee2da887a3b5b24
