variant,seed,forecast,memory,evaluation_split,result_status,checkpoint,checkpoint_sha256,checkpoint_validation_gate,total_irrigation_mm,time_in_target_pct,violation_rate_pct,rmse_band,action_smoothness,deficit_rate_pct,surplus_rate_pct,drainage_total_mm,runoff_total_mm,mean_soil_moisture,max_abs_mass_balance_error_mm,cumulative_reward,reward_version,training_device,new_interactions,base_anchor_interactions,effective_total_interactions
SAC Basic,11,False,False,retrospective_final_benchmark_2025,CONFIRMATORY,Checkpoints/Fair_DRL/SAC/sac_seed11_best.pt,a5b5515ccdd9a325c38790b98bf971365347ffb392f36a54983f16c5e809825c,True,363.9682439863682,54.34931506849316,45.65068493150685,0.0222405383240826,0.0147948000396763,0.0,45.65068493150685,790.3963961208449,0.0,0.3164681360005872,1.4210854715202004e-14,-1635.231336617761,reward_v4,cuda,6720,0,6720
SAC Basic,22,False,False,retrospective_final_benchmark_2025,CONFIRMATORY,Checkpoints/Fair_DRL/SAC/sac_seed22_best.pt,be956eea64d7c1922120fcae84bb2052670f37f8787a5cfd7abbdbfac961efc2,True,392.07386296987534,56.03881278538813,43.96118721461188,0.0223409211647084,0.0220364492557979,0.0,43.96118721461188,822.684859684949,0.0,0.3078096569743293,1.4210854715202004e-14,-1097.0804009602289,reward_v4,cuda,6720,0,6720
SAC Basic,33,False,False,retrospective_final_benchmark_2025,CONFIRMATORY,Checkpoints/Fair_DRL/SAC/sac_seed33_best.pt,a292da3fa2b0069874f58b9836c9126bcbd61a061960f2e07778558e7fb3efd1,True,344.1287980377674,55.81050228310502,44.18949771689498,0.0219482942003519,0.0092861546591164,0.0,44.18949771689498,773.8239274937941,0.0,0.306555749619147,1.4210854715202004e-14,-1051.7821780945033,reward_v4,cuda,6720,0,6720
SAC Basic,44,False,False,retrospective_final_benchmark_2025,CONFIRMATORY,Checkpoints/Fair_DRL/SAC/sac_seed44_best.pt,d59cddbbb0af9ce3b4015776f37a5ea3d439fafd65840833174f475e12e9c363,True,329.9202690422535,57.26027397260274,42.73972602739726,0.0216335411313111,0.0104018174658791,0.0,42.73972602739726,761.491585806887,0.0,0.3120884367734928,1.4210854715202004e-14,-428.7534398710195,reward_v4,cuda,6720,0,6720
SAC Basic,55,False,False,retrospective_final_benchmark_2025,CONFIRMATORY,Checkpoints/Fair_DRL/SAC/sac_seed55_best.pt,aa2a2e370df694c2c6c53440615b5d7a77b0e9c919b5d330bce6e22c8a763e09,True,472.0233750343323,52.8310502283105,47.1689497716895,0.0233437368270669,0.0345389711515233,0.0,47.1689497716895,898.2271010456545,0.0,0.3179263607543453,2.8421709430404014e-14,-2498.702565157611,reward_v4,cuda,6720,0,6720
SAC Basic,66,False,False,retrospective_final_benchmark_2025,CONFIRMATORY,Checkpoints/Fair_DRL/SAC/sac_seed66_best.pt,b8b2a592c3c3ab05d208d068ac2e72e96cf02f8f5a626aa618138799a4366da4,True,379.19644409418106,53.45890410958904,46.54109589041096,0.0224406782340602,0.0120404853009921,0.0,46.54109589041096,806.00965506167,0.0,0.3172861969080174,2.8421709430404014e-14,-1959.6995461932324,reward_v4,cuda,6720,0,6720
SAC Basic,77,False,False,retrospective_final_benchmark_2025,CONFIRMATORY,Checkpoints/Fair_DRL/SAC/sac_seed77_best.pt,075e7fea4a8b994d7c1074ba1e7d3a087e9de05262d4ba7dad1adcbc31de68ba,True,317.25008007884026,50.30821917808219,49.69178082191781,0.0214951855940534,0.0100758974819453,8.926940639269407,40.764840182648406,761.1924301705192,0.0,0.2977671260931419,1.4210854715202004e-14,-2272.134495448685,reward_v4,cuda,6720,0,6720
SAC Basic,88,False,False,retrospective_final_benchmark_2025,CONFIRMATORY,Checkpoints/Fair_DRL/SAC/sac_seed88_best.pt,dcf4b45b859fa169e6e6194f51cb67d7cfda41548c66d1f5fdec4b18f2e373f4,True,349.23950147628784,55.57077625570776,44.42922374429224,0.0219555133752765,0.0119382992824036,0.0,44.42922374429224,777.8459480768644,0.0,0.3129540926453561,1.4210854715202004e-14,-1076.4736809072892,reward_v4,cuda,6720,0,6720
SAC Basic,99,False,False,retrospective_final_benchmark_2025,CONFIRMATORY,Checkpoints/Fair_DRL/SAC/sac_seed99_best.pt,11650209afccd0065c436661afbcf896072ffb373c6129f9bfee35a05ef09902,True,382.8724527657032,53.05936073059361,46.94063926940639,0.0224796236052376,0.0103129886515214,0.0,46.94063926940639,808.7973899363576,0.0,0.3180323987697495,2.8421709430404014e-14,-2093.929384233965,reward_v4,cuda,6720,0,6720
SAC Basic,110,False,False,retrospective_final_benchmark_2025,CONFIRMATORY,Checkpoints/Fair_DRL/SAC/sac_seed110_best.pt,5c0f619863fddbdd9d3e8b0c7542756a1dfce5f7398ffe314e9de8480301480f,False,610.3058835566044,52.47716894977169,47.52283105022831,0.0246179499006751,0.0437932969643544,0.0,47.52283105022831,1027.9975174393835,8.564019726911567,0.3166752988517227,2.8421709430404014e-14,-3086.2291060646558,reward_v4,cuda,6720,0,6720
