variant,seed,forecast,memory,reward_version,training_device,selected_episode,validation_gate,losses_finite,new_interactions,base_anchor_interactions,effective_total_interactions,checkpoint_selection,benchmark_used_for_selection,history_residual_norm,forecast_residual_norm,zero_history_action_delta_mm,zero_forecast_action_delta_mm,common_support_hash,checkpoint,checkpoint_sha256
SAC Basic,11,False,False,reward_v4,cuda,20,True,True,6720,0,6720,validation_2024_gate_target_water_rmse,False,,,,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/Fair_DRL/SAC/sac_seed11_best.pt,a5b5515ccdd9a325c38790b98bf971365347ffb392f36a54983f16c5e809825c
SAC Basic,22,False,False,reward_v4,cuda,20,True,True,6720,0,6720,validation_2024_gate_target_water_rmse,False,,,,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/Fair_DRL/SAC/sac_seed22_best.pt,be956eea64d7c1922120fcae84bb2052670f37f8787a5cfd7abbdbfac961efc2
SAC Basic,33,False,False,reward_v4,cuda,20,True,True,6720,0,6720,validation_2024_gate_target_water_rmse,False,,,,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/Fair_DRL/SAC/sac_seed33_best.pt,a292da3fa2b0069874f58b9836c9126bcbd61a061960f2e07778558e7fb3efd1
SAC Basic,44,False,False,reward_v4,cuda,20,True,True,6720,0,6720,validation_2024_gate_target_water_rmse,False,,,,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/Fair_DRL/SAC/sac_seed44_best.pt,d59cddbbb0af9ce3b4015776f37a5ea3d439fafd65840833174f475e12e9c363
SAC Basic,55,False,False,reward_v4,cuda,20,True,True,6720,0,6720,validation_2024_gate_target_water_rmse,False,,,,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/Fair_DRL/SAC/sac_seed55_best.pt,aa2a2e370df694c2c6c53440615b5d7a77b0e9c919b5d330bce6e22c8a763e09
SAC Basic,66,False,False,reward_v4,cuda,20,True,True,6720,0,6720,validation_2024_gate_target_water_rmse,False,,,,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/Fair_DRL/SAC/sac_seed66_best.pt,b8b2a592c3c3ab05d208d068ac2e72e96cf02f8f5a626aa618138799a4366da4
SAC Basic,77,False,False,reward_v4,cuda,20,True,True,6720,0,6720,validation_2024_gate_target_water_rmse,False,,,,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/Fair_DRL/SAC/sac_seed77_best.pt,075e7fea4a8b994d7c1074ba1e7d3a087e9de05262d4ba7dad1adcbc31de68ba
SAC Basic,88,False,False,reward_v4,cuda,20,True,True,6720,0,6720,validation_2024_gate_target_water_rmse,False,,,,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/Fair_DRL/SAC/sac_seed88_best.pt,dcf4b45b859fa169e6e6194f51cb67d7cfda41548c66d1f5fdec4b18f2e373f4
SAC Basic,99,False,False,reward_v4,cuda,10,True,True,6720,0,6720,validation_2024_gate_target_water_rmse,False,,,,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/Fair_DRL/SAC/sac_seed99_best.pt,11650209afccd0065c436661afbcf896072ffb373c6129f9bfee35a05ef09902
SAC Basic,110,False,False,reward_v4,cuda,20,False,True,6720,0,6720,validation_2024_gate_target_water_rmse,False,,,,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/Fair_DRL/SAC/sac_seed110_best.pt,5c0f619863fddbdd9d3e8b0c7542756a1dfce5f7398ffe314e9de8480301480f
