seed,episode,reward,steps,updates,actor_loss,critic_loss
11,1,-3132.1907835992392,336,0,,
11,2,-2343.8047362326033,672,173,8.09384536743164,5.05830717086792
11,3,-702.4226005720238,1008,509,12.415565490722656,0.40632131695747375
11,4,-867.2557877169126,1344,845,14.621009826660156,0.26214638352394104
11,5,511.66150547098556,1680,1181,18.680904388427734,0.7450245022773743
11,6,670.4830316469635,2016,1517,10.004636764526367,0.9563312530517578
11,7,-1257.0241653876144,2352,1853,23.639297485351562,17.37480926513672
11,8,-1402.4843123311343,2688,2189,24.079835891723633,1.0914918184280396
11,9,-275.67873409803957,3024,2525,31.286165237426758,17.62346649169922
11,10,-1615.4892649643123,3360,2861,43.542606353759766,5.574436187744141
11,11,-842.1738985964471,3696,3197,30.87607765197754,7.649050712585449
11,12,-791.3918655570048,4032,3533,32.147438049316406,19.897214889526367
11,13,-812.7914261578533,4368,3869,37.58374786376953,23.488840103149414
11,14,-422.8251733285895,4704,4205,51.18406677246094,70.4862060546875
11,15,13.902383153099908,5040,4541,46.42674255371094,13.309123992919922
11,16,-268.37333774237277,5376,4877,43.404579162597656,23.672605514526367
11,17,-447.9338549043239,5712,5213,42.7344856262207,22.838611602783203
11,18,-490.2090736323099,6048,5549,45.19195556640625,28.71658706665039
11,19,-788.8000870935825,6384,5885,45.618350982666016,35.978267669677734
11,20,-972.922204307486,6720,6221,43.36463928222656,15.993468284606934
22,1,-3155.8920509410277,336,0,,
22,2,-2188.7375838094063,672,173,7.358959197998047,6.882174491882324
22,3,267.25609484773406,1008,509,10.957858085632324,2.7110812664031982
22,4,-998.5259992691978,1344,845,15.900496482849121,0.7982823848724365
22,5,-1079.8312707705477,1680,1181,16.50116729736328,1.0991954803466797
22,6,-675.6462897143005,2016,1517,23.361282348632812,2.3500142097473145
22,7,-683.2488656438692,2352,1853,22.986379623413086,5.483463287353516
22,8,670.4312947507696,2688,2189,22.72633171081543,2.0252745151519775
22,9,-926.3945875748207,3024,2525,18.123477935791016,2.8373749256134033
22,10,-589.6232310274651,3360,2861,33.02879333496094,5.261051654815674
22,11,-860.5762635311448,3696,3197,27.653362274169922,3.8745198249816895
22,12,-1491.0119331970316,4032,3533,24.297889709472656,17.264869689941406
22,13,-1048.440078511597,4368,3869,41.87602233886719,17.561012268066406
22,14,-414.02200270498923,4704,4205,53.794734954833984,10.310022354125977
22,15,-1099.276052156915,5040,4541,46.20009994506836,6.980374813079834
22,16,-790.8768032444558,5376,4877,36.525516510009766,52.61262893676758
22,17,-1358.3968434045528,5712,5213,44.79026794433594,21.11815643310547
22,18,-1079.501644328262,6048,5549,51.13251495361328,55.100242614746094
22,19,-1380.386097878859,6384,5885,61.64299392700195,212.8453369140625
22,20,151.8704285411731,6720,6221,48.58177185058594,54.31239318847656
33,1,-3290.1676031925304,336,0,,
33,2,-2283.4155403861423,672,173,9.372644424438477,1.2961061000823975
33,3,-807.0266766896384,1008,509,14.393433570861816,0.40191271901130676
33,4,-647.0433844054705,1344,845,19.739967346191406,0.47607851028442383
33,5,-786.2587389270032,1680,1181,21.26996421813965,0.6697871685028076
33,6,-1135.2731454826678,2016,1517,26.77333641052246,28.82740592956543
33,7,-788.9867090989289,2352,1853,28.6573486328125,1.022426962852478
33,8,-834.4832607938018,2688,2189,38.60881805419922,2.1465423107147217
33,9,267.83348371056627,3024,2525,37.04846954345703,76.12083435058594
33,10,618.8397392859325,3360,2861,33.56523132324219,5.34735107421875
33,11,-898.8541206938372,3696,3197,28.885696411132812,10.096161842346191
33,12,670.4682708367008,4032,3533,36.4849853515625,17.04176139831543
33,13,-111.12636821165853,4368,3869,44.09221649169922,10.489091873168945
33,14,219.05350618106527,4704,4205,34.920494079589844,18.49575424194336
33,15,-737.7937599760808,5040,4541,35.91642761230469,18.128311157226562
33,16,-850.6262720286541,5376,4877,32.79993438720703,65.08275604248047
33,17,-899.4706764237485,5712,5213,36.16268539428711,37.85741424560547
33,18,-1058.0292128153494,6048,5549,34.34977722167969,73.2629165649414
33,19,-1368.0030372855067,6384,5885,50.83912658691406,104.51864624023438
33,20,-1236.4410747909697,6720,6221,50.30295181274414,38.9094123840332
