method,seed,trajectory_path,trajectory_rows,trajectory_sha256,checkpoint,checkpoint_sha256,reward_version,evaluation_split,metrics_reconciled
DDPG,11,Results/Dashboard/Trajectories/benchmark_2025_ddpg_seed11.csv,8760,6a863e38f4d86292b9abc26820f49c80cdbd5e4f24f8b446985fa6780931403e,Checkpoints/DDPG/ddpg_seed11_best.pt,81881271ec4156996b4edb6c291f85be94d384f237660af8fb8eaf3e254a31f4,reward_v4,retrospective_final_benchmark_2025,True
DDPG,22,Results/Dashboard/Trajectories/benchmark_2025_ddpg_seed22.csv,8760,b6b7170bc5e1d7a6e02a497efbf36e6e39f1d12c1e245f0b85dcc0b378ed1daf,Checkpoints/DDPG/ddpg_seed22_best.pt,bcd91561238eb78ae8ad52baac85544a21c79cc99eff484392913c7a9e4297a5,reward_v4,retrospective_final_benchmark_2025,True
DDPG,33,Results/Dashboard/Trajectories/benchmark_2025_ddpg_seed33.csv,8760,c487b6864287ca1953a89f03bbfacdd1102cab666c68611293eeee3f4a77b9e1,Checkpoints/DDPG/ddpg_seed33_best.pt,6a7fabbee54534745bb8b1a43e196f6019d7f895efd788c75b23feda6f924efe,reward_v4,retrospective_final_benchmark_2025,True
DDPG,44,Results/Dashboard/Trajectories/benchmark_2025_ddpg_seed44.csv,8760,5e13b3bbd131ca3ecd74ccdc75c4781af94fee3fa7222e18f28d2737fe5c16be,Checkpoints/DDPG/ddpg_seed44_best.pt,262ab9bc1f3f94023dd9d19d8a6d4166873a90a2f9ac3219f326ae2875790fb4,reward_v4,retrospective_final_benchmark_2025,True
DDPG,55,Results/Dashboard/Trajectories/benchmark_2025_ddpg_seed55.csv,8760,a50a69ccd8cdfb81a17dd6b70cf5f48cd87205a46d77b5fac3397b77450dadf7,Checkpoints/DDPG/ddpg_seed55_best.pt,85c2a567732b28762b6d859be975236f4071ef3bcdfa2fd31d9cb27b19cb01f9,reward_v4,retrospective_final_benchmark_2025,True
DDPG,66,Results/Dashboard/Trajectories/benchmark_2025_ddpg_seed66.csv,8760,6c3c911735500cd73c11719865f4f997612f5b288f3ffab95d19e98f34dd2ff1,Checkpoints/DDPG/ddpg_seed66_best.pt,c998fdb9a177131fc6f2a1fef33b7cb4f9e7786b8df46cc6f1e9883a593b5295,reward_v4,retrospective_final_benchmark_2025,True
DDPG,77,Results/Dashboard/Trajectories/benchmark_2025_ddpg_seed77.csv,8760,50eeb05266711b1dd35c626441c807ea84005727319a9038e72cc7d98fe6babd,Checkpoints/DDPG/ddpg_seed77_best.pt,e22394c991c5a25e69a949e5db435ea24db030de6d373b01cb1b31815e40fdcf,reward_v4,retrospective_final_benchmark_2025,True
DDPG,88,Results/Dashboard/Trajectories/benchmark_2025_ddpg_seed88.csv,8760,67a196e836669264a927b1c0e953a58ad9b49e629772e0b7fc5391bbfb58163d,Checkpoints/DDPG/ddpg_seed88_best.pt,92323fd385e46cda48de07c67a13d7540b95ba00f85ad294d2cfa485a6dda5d8,reward_v4,retrospective_final_benchmark_2025,True
DDPG,99,Results/Dashboard/Trajectories/benchmark_2025_ddpg_seed99.csv,8760,30008f46aff2a8f5a8845dd038ab022a60224877e308d4bb9bfe4a7d6504f175,Checkpoints/DDPG/ddpg_seed99_best.pt,269a465058b0bed2f450e8c122a53616d3b4a691b0b0f2c7703da850b54f7ab6,reward_v4,retrospective_final_benchmark_2025,True
DDPG,110,Results/Dashboard/Trajectories/benchmark_2025_ddpg_seed110.csv,8760,e092648070668f5f2f74167623a815616fb2b9f9bcd9098c64b5f188328c5b92,Checkpoints/DDPG/ddpg_seed110_best.pt,9b6a3eb88baebffdd4cb3e1f53121a7f33de9a3007663ad9ed691b9082e31e82,reward_v4,retrospective_final_benchmark_2025,True
