insertion_id,chapter_section,metric_or_statement,source_value_exact,display_text,source_file,source_field,source_sha256,dashboard_page,readiness_status
R01,5.1,Data split,2021-2023|2024|2025,training 2021–2023; validation 2024; retrospective benchmark 2025,Results/Fair_DRL/fairness_audit.json,common_fields.training_period|validation_period; benchmark_classification,63623ee0c1823deadae5ce375a3e9b50c1ca1dae4f886b58458ed427659973ed,Research Design,READY
R02,5.2,Target soil-moisture band,0.22|0.32,0.22–0.32 m³/m³,Docs/Reviewer_Alignment/research_question_objective_map.csv,RM1.measurable_objective,8746a62d187bc48128aedf6ba32d6233047f6a779e9ff4ae64c104c191cf8179,Research Design,READY
R03,5.2,Irrigation action bounds,0|5,0–5 mm/hour,Results/Fair_DRL/fairness_audit.json,common_fields.action_min_mm_h|action_max_mm_h,63623ee0c1823deadae5ce375a3e9b50c1ca1dae4f886b58458ed427659973ed,Fair DRL Benchmark,READY
R04,5.2,Simple cases passed,6,6/6 passed,Results/Simple_Case_Validation/simple_case_results.csv,passed,e92e0f718c7944550b59eccf4becd06546b88c5bada45d9a9001523aefda0633,Simple-Case & Raw-Data Validation,READY
R05,5.2,Maximum raw-episode mass-balance residual,2.8421709430404014e-14,2.842e-14 mm,Results/Simple_Case_Validation/raw_episode_summary.csv,max_abs_mass_balance_error_mm,601b0401f3647001f0d640f0b83b860f634177c5219e7c70820cdcb37b30ab28,Simple-Case & Raw-Data Validation,READY
R06,5.3,Locked reward,reward_v4,reward_v4,Results/Reward_Validation/reward_confirmation_decision.json,selected_reward.reward_version,2262c87ebb8a9bb3bff4c094c6a4934e295ccb804b14364427dcf89bdbe649ef,Reward Lab,READY
R07,5.3,Reward-validation Time in Target,56.82832422586521,56.828 ± 5.152%,Results/Reward_Validation/reward_confirmation_decision.json,selected_reward.validation_summary.time_in_target_pct_mean|std,2262c87ebb8a9bb3bff4c094c6a4934e295ccb804b14364427dcf89bdbe649ef,Reward Lab,READY
R08,5.3,Reward-validation irrigation,613.4448464185,613.445 ± 146.976 mm,Results/Reward_Validation/reward_confirmation_decision.json,selected_reward.validation_summary.total_irrigation_mm_mean|std,2262c87ebb8a9bb3bff4c094c6a4934e295ccb804b14364427dcf89bdbe649ef,Reward Lab,READY
R09,5.4,Raw-data validation episodes,DRY|WET|MIXED,"DRY, WET, and MIXED",Results/Simple_Case_Validation/raw_episode_summary.csv,episode,601b0401f3647001f0d640f0b83b860f634177c5219e7c70820cdcb37b30ab28,Simple-Case & Raw-Data Validation,READY
R10,5.5,Fairness audit,PASS,PASS,Results/Fair_DRL/fairness_audit.json,status,63623ee0c1823deadae5ce375a3e9b50c1ca1dae4f886b58458ed427659973ed,Fair DRL Benchmark,READY
R11,5.5,SAC exploratory Time in Target,55.39954337899544,55.400 ± 0.917%,Results/Fair_DRL/fair_drl_results_2025.csv,algorithm_family=SAC; time_in_target_pct,56c57915708467fcf4c4c96637a4c75966dd3c90708f75782c1c701f70c9fc73,Fair DRL Benchmark,READY
R12,5.5,TD3 exploratory Time in Target,45.833333333333336,45.833 ± 13.804%,Results/Fair_DRL/fair_drl_results_2025.csv,algorithm_family=TD3; time_in_target_pct,56c57915708467fcf4c4c96637a4c75966dd3c90708f75782c1c701f70c9fc73,Fair DRL Benchmark,READY
R13,5.5,DDPG exploratory Time in Target,33.61491628614916,33.615 ± 6.439%,Results/Fair_DRL/fair_drl_results_2025.csv,algorithm_family=DDPG; time_in_target_pct,56c57915708467fcf4c4c96637a4c75966dd3c90708f75782c1c701f70c9fc73,Fair DRL Benchmark,READY
R14,5.6,POMDP exploratory seeds,3,3 matched seeds,Results/POMDP_Ablation/pomdp_ablation_manifest.json,seeds,0f4f9484c8bee583bdd31880b2acbb11d33e3cb5b22ad7222a1003f08d0b3424,POMDP Contribution,READY
R15,5.7,Main confirmatory rows,40,40 model-seed rows,Results/Confirmatory_10Seed/main_10seed_results_2025.csv,row_count,9ca63b020bdef6f4c47fef59608c89e29b75709395227cf1ea2c0ca0bc6f4c41,10-Seed Confirmatory Statistics,READY
R16,5.7,Matched seeds,10,10 matched seeds,Results/Confirmatory_10Seed/main_10seed_results_2025.csv,seed,9ca63b020bdef6f4c47fef59608c89e29b75709395227cf1ea2c0ca0bc6f4c41,10-Seed Confirmatory Statistics,READY
R17,5.7,SACSI-POMDP confirmatory summary,55.01826484018265,Time in Target 55.018 ± 1.927%; irrigation 372.197 ± 42.601 mm,Results/Confirmatory_10Seed/main_10seed_results_2025.csv,model=SACSI-POMDP; aggregate mean|std,9ca63b020bdef6f4c47fef59608c89e29b75709395227cf1ea2c0ca0bc6f4c41,10-Seed Confirmatory Statistics,READY
R18,5.7,SAC confirmatory summary,54.11643835616438,Time in Target 54.116 ± 2.082%; irrigation 394.098 ± 87.313 mm,Results/Confirmatory_10Seed/main_10seed_results_2025.csv,model=SAC; aggregate mean|std,9ca63b020bdef6f4c47fef59608c89e29b75709395227cf1ea2c0ca0bc6f4c41,10-Seed Confirmatory Statistics,READY
R19,5.7,TD3 confirmatory summary,41.85045662100457,Time in Target 41.850 ± 12.696%; irrigation 176.153 ± 186.339 mm,Results/Confirmatory_10Seed/main_10seed_results_2025.csv,model=TD3; aggregate mean|std,9ca63b020bdef6f4c47fef59608c89e29b75709395227cf1ea2c0ca0bc6f4c41,10-Seed Confirmatory Statistics,READY
R20,5.7,DDPG confirmatory summary,41.278538812785385,Time in Target 41.279 ± 12.798%; irrigation 151.509 ± 167.889 mm,Results/Confirmatory_10Seed/main_10seed_results_2025.csv,model=DDPG; aggregate mean|std,9ca63b020bdef6f4c47fef59608c89e29b75709395227cf1ea2c0ca0bc6f4c41,10-Seed Confirmatory Statistics,READY
R21,5.7,Friedman omnibus,0.001762906490865,"χ²(3)=15.064, p=0.001763",Results/Confirmatory_10Seed/friedman_results.csv,friedman_chi_square|friedman_df|friedman_p,3bae6a0b776ef633e633f6ec318b0848215450542d29fd705be8413bb5293d55,10-Seed Confirmatory Statistics,READY
R22,5.7,SACSI-POMDP - SAC,0.9018264840182646,"0.902 pp; 95% CI [0.336, 1.531]; dz=0.880; exact-Holm p=0.046875",Results/Confirmatory_10Seed/planned_contrasts.csv,comparison=SACSI-POMDP - SAC,a9335b111e07f6b05d42bdf7d0c1ce671ca6dafc03655cbe37a24fbc5414171c,10-Seed Confirmatory Statistics,READY
R23,5.7,SACSI-POMDP - TD3,13.167808219178085,"13.168 pp; 95% CI [5.402, 20.854]; dz=0.996; exact-Holm p=0.046875",Results/Confirmatory_10Seed/planned_contrasts.csv,comparison=SACSI-POMDP - TD3,a9335b111e07f6b05d42bdf7d0c1ce671ca6dafc03655cbe37a24fbc5414171c,10-Seed Confirmatory Statistics,READY
R24,5.7,SACSI-POMDP - DDPG,13.739726027397262,"13.740 pp; 95% CI [5.660, 21.105]; dz=1.034; exact-Holm p=0.046875",Results/Confirmatory_10Seed/planned_contrasts.csv,comparison=SACSI-POMDP - DDPG,a9335b111e07f6b05d42bdf7d0c1ce671ca6dafc03655cbe37a24fbc5414171c,10-Seed Confirmatory Statistics,READY
R25,5.8,Factorial confirmatory rows,40,40 variant-seed rows,Results/Confirmatory_10Seed/sac_family_10seed_factorial.csv,row_count,da4417232f55f0ac86bf152e0294e9d315512686641a604a7c78b29acdcee440,POMDP Contribution,READY
R26,5.8,Forecast main effect,-0.1067351598173509,"-0.107 pp; 95% CI [-0.632, 0.422]; exact-Holm p=0.964844; not supported",Results/Confirmatory_10Seed/factorial_inference.csv,effect=Forecast main effect,428863700bf157967b0061661ef196a607f3643f14e991c7d4c84816a8765d10,10-Seed Confirmatory Statistics,READY
R27,5.8,Memory main effect,1.0085616438356155,"1.009 pp; 95% CI [0.579, 1.438]; exact-Holm p=0.017578; supported",Results/Confirmatory_10Seed/factorial_inference.csv,effect=Memory main effect,428863700bf157967b0061661ef196a607f3643f14e991c7d4c84816a8765d10,10-Seed Confirmatory Statistics,READY
R28,5.8,Forecast x Memory interaction,1.501141552511416,"1.501 pp; 95% CI [-0.865, 4.771]; exact-Holm p=0.964844; not supported",Results/Confirmatory_10Seed/factorial_inference.csv,effect=Forecast x Memory interaction,428863700bf157967b0061661ef196a607f3643f14e991c7d4c84816a8765d10,10-Seed Confirmatory Statistics,READY
R29,5.8,Forecast robustness levels,SF10|SF20|SF30,"SF10, SF20, SF30",Results/POMDP_Ablation/forecast_robustness.csv,forecast_level,fe2016081a1ad5b5c727ca5c4077e7f9124c315b4fff5b82ef29d7c6455276e7,Robustness & Context Diagnostics,READY
R30,5.8,Sequence windows,6|12|24|48,"6, 12, 24, 48 hours",Results/POMDP_Ablation/sequence_sensitivity.csv,sequence_length,f8bd12f404b52a1a6bdc5db63946457da8dadb2f1b97c5428119a5d1a8e5c23f,Robustness & Context Diagnostics,READY
R31,5.8,Context intervention conditions,9,9 conditions,Results/POMDP_Ablation/context_intervention_results.csv,condition,5703a922944658b7dfa96a8d2b65f35943f017ffb654d6eacffb33f9318ba214,Robustness & Context Diagnostics,READY
R32,5.7,Failed validation rows retained,16|2,16 main and 2 factorial rows,Results/Confirmatory_10Seed/final_statistics_summary.json,failed_validation_seeds_retained,bc9678570b96174d9f9ff8c471ca3f784c8f0c4dbddcda11c4af5a8a503ccc40,10-Seed Confirmatory Statistics,READY
R33,5.9,Reviewer evidence coverage,12,12/12 mapped,Docs/Reviewer_Alignment/reviewer_alignment_matrix.csv,reviewer_item_id,dd752b2cab75104f79550bf4996eabe86c73ffbeee4598a95dd8bcbfa8dbf46f,Reviewer Evidence Matrix,READY
