seed,episode,reward,steps,updates,actor_loss,critic_loss,alpha_loss,alpha
11,1,-3132.1907835992392,336,0,,,,
11,2,-2307.107518977945,672,173,8.464658737182617,12.417314529418945,-3.976862907409668,0.04935190826654434
11,3,-127.01642291800869,1008,509,12.186537742614746,1.0089601278305054,-2.364926815032959,0.04849470406770706
11,4,361.46464173975033,1344,845,11.43938159942627,1.1919314861297607,-1.8121196031570435,0.047831516712903976
11,5,667.0829140366912,1680,1181,15.010540962219238,1.8748849630355835,-2.328780174255371,0.04698987305164337
11,6,670.9917752841119,2016,1517,7.381755828857422,1.2188012599945068,-2.107694149017334,0.04591859132051468
11,7,-953.9641561141149,2352,1853,20.735197067260742,29.470409393310547,-0.6908084750175476,0.04479113593697548
11,8,-1129.6895164595826,2688,2189,19.603544235229492,2.9960312843322754,-1.4793739318847656,0.043830130249261856
11,9,556.1061007481823,3024,2525,24.226789474487305,14.47335147857666,-0.8791296482086182,0.0429268516600132
11,10,-1466.4250064554385,3360,2861,40.44324493408203,13.021642684936523,-0.32245200872421265,0.04237103834748268
11,11,577.3112890154898,3696,3197,20.971969604492188,17.877159118652344,-1.4932196140289307,0.04195292294025421
11,12,653.5396362427283,4032,3533,20.953369140625,43.17462921142578,-1.6402826309204102,0.0414903424680233
11,13,-234.25957388436035,4368,3869,19.703449249267578,34.17068862915039,0.16175803542137146,0.04123573377728462
11,14,3.860534004827196,4704,4205,29.20067596435547,118.6054916381836,1.009735107421875,0.041246432811021805
11,15,506.0181785910676,5040,4541,23.314912796020508,38.07713317871094,-0.8278339505195618,0.04139659181237221
11,16,671.4141637465358,5376,4877,16.75152587890625,84.2656021118164,0.2991800904273987,0.04149255529046059
11,17,627.2002786074884,5712,5213,16.02422332763672,64.38998413085938,-0.11264723539352417,0.04188361391425133
11,18,671.7532775613666,6048,5549,19.9954891204834,52.71074676513672,0.3381814956665039,0.04287423938512802
11,19,-211.1932974104241,6384,5885,5.2941741943359375,72.29322814941406,-0.11449851095676422,0.04382549971342087
11,20,-746.3456137603232,6720,6221,12.926115989685059,50.12889099121094,-0.9825279712677002,0.04466165602207184
22,1,-3155.8920509410277,336,0,,,,
22,2,-2359.6432882152585,672,173,8.367090225219727,12.170324325561523,-5.2366814613342285,0.04931076988577843
