seed,condition,mean_abs_action_delta_vs_full_mm,history_residual_norm,forecast_residual_norm,history_branch_active,forecast_branch_active,total_irrigation_mm,time_in_target_pct,violation_rate_pct,rmse_band,action_smoothness,deficit_rate_pct,surplus_rate_pct,drainage_total_mm,runoff_total_mm,mean_soil_moisture,max_abs_mass_balance_error_mm
11,Full,0.0,0.5920118689537048,0.1949748992919922,True,True,358.0689211189747,54.965753424657535,45.034246575342465,0.02213903407786273,0.01732210195191117,0.0,45.034246575342465,784.3496554751598,0.0,0.3143605043323005,1.4210854715202004e-14
11,No History,0.018889034166932106,0.5920118689537048,0.1949748992919922,True,True,359.38293731212616,54.87442922374429,45.12557077625571,0.022177236431864762,0.014750633256486295,0.0,45.12557077625571,785.8271811643709,0.0,0.31609644334778514,1.4210854715202004e-14
11,No Forecast,0.0026635336689651012,0.5920118689537048,0.1949748992919922,True,True,362.9002374410629,54.6689497716895,45.3310502283105,0.022205055798852964,0.0171576593173722,0.0,45.3310502283105,789.1663034829513,0.0,0.3147906282779866,1.4210854715202004e-14
11,No Context,0.0192269217222929,0.5920118689537048,0.1949748992919922,True,True,363.9682439863682,54.349315068493155,45.65068493150685,0.022240538324082678,0.014794800039676379,0.0,45.65068493150685,790.3963961208449,0.0,0.31646813600058726,1.4210854715202004e-14
11,Shuffled History,0.016437722370028496,0.5920118689537048,0.1949748992919922,True,True,339.52521365880966,55.93607305936074,44.06392694063927,0.021822798884488827,0.017948379999345426,0.0,44.06392694063927,765.8802361906446,0.0,0.31169186859726217,1.4210854715202004e-14
11,Reversed History,0.01689189113676548,0.5920118689537048,0.1949748992919922,True,True,348.56295719742775,55.39954337899543,44.60045662100456,0.021967883395097174,0.01589175165618224,0.0,44.60045662100456,774.8610239711882,0.0,0.31385107642781584,1.4210854715202004e-14
11,Zero History,0.01939857006072998,0.5920118689537048,0.1949748992919922,True,True,349.26512944698334,55.3082191780822,44.69178082191781,0.022025401320471354,0.014383296795612139,0.0,44.69178082191781,775.8527903361837,0.0,0.3148847425758151,1.4210854715202004e-14
11,Shuffled Forecast,0.0037251643370836973,0.5920118689537048,0.1949748992919922,True,True,358.7281187772751,54.98858447488585,45.01141552511416,0.022145810645164077,0.018065879757048563,0.0,45.01141552511416,785.0510930654344,0.0,0.31429380718826827,1.4210854715202004e-14
11,Zero Forecast,0.0024004196748137474,0.5920118689537048,0.1949748992919922,True,True,361.00931057333946,54.80593607305936,45.19406392694064,0.022177982111685292,0.01712468064039561,0.0,45.19406392694064,787.3018018101463,0.0,0.3145504946007571,1.4210854715202004e-14
22,Full,0.0,0.4839317500591278,0.2647901773452759,True,True,394.6850163936615,56.267123287671225,43.73287671232877,0.022289732404158134,0.029753544723515313,0.0,43.73287671232877,824.3504911951243,0.0,0.3059615287695921,1.4210854715202004e-14
22,No History,0.01846720650792122,0.4839317500591278,0.2647901773452759,True,True,381.8831784427166,56.6324200913242,43.3675799086758,0.022190846361740593,0.021738154673932936,0.0,43.3675799086758,813.3399341664743,0.0,0.30650388883424823,1.4210854715202004e-14
22,No Forecast,0.003962869290262461,0.4839317500591278,0.2647901773452759,True,True,406.33475881814957,55.69634703196347,44.30365296803653,0.02245878976528432,0.0301832493812693,0.0,44.30365296803653,835.1773796598854,0.0,0.3072074227051158,1.4210854715202004e-14
22,No Context,0.019639018923044205,0.4839317500591278,0.2647901773452759,True,True,392.07386296987534,56.038812785388124,43.961187214611876,0.022340921164708424,0.022036449255797945,0.0,43.961187214611876,822.684859684949,0.0,0.3078096569743293,1.4210854715202004e-14
22,Shuffled History,0.019076455384492874,0.4839317500591278,0.2647901773452759,True,True,378.81429797410965,56.529680365296805,43.470319634703195,0.022138565905934094,0.02528792572750976,0.0,43.470319634703195,809.5255581962076,0.0,0.30637433339888076,1.4210854715202004e-14
