variant,seed,forecast,memory,reward_version,selected_episode,validation_gate,checkpoint,checkpoint_sha256
SAC Basic,11,False,False,reward_v4,20,True,Checkpoints/Fair_DRL/SAC/sac_seed11_best.pt,a5b5515ccdd9a325c38790b98bf971365347ffb392f36a54983f16c5e809825c
SAC Basic,22,False,False,reward_v4,20,True,Checkpoints/Fair_DRL/SAC/sac_seed22_best.pt,be956eea64d7c1922120fcae84bb2052670f37f8787a5cfd7abbdbfac961efc2
SAC Basic,33,False,False,reward_v4,20,True,Checkpoints/Fair_DRL/SAC/sac_seed33_best.pt,a292da3fa2b0069874f58b9836c9126bcbd61a061960f2e07778558e7fb3efd1
SAC + Forecast,11,True,False,reward_v4,0,True,Checkpoints/POMDP_Ablation/sac_forecast/sac_forecast_seed11_best.pt,df130ea1531a496394907ae0f3ad825b915ce08edf95b82b4b01bf621117f6a2
SAC + Forecast,22,True,False,reward_v4,0,True,Checkpoints/POMDP_Ablation/sac_forecast/sac_forecast_seed22_best.pt,0619d9440dc7ef82d02df4b276454e2a6282a23b681137f1c4f73fac83072aae
SAC + Forecast,33,True,False,reward_v4,5,True,Checkpoints/POMDP_Ablation/sac_forecast/sac_forecast_seed33_best.pt,9443fb458ed8b143296c51c2809f2f0065b1b7904025725a4fa633009615b9c6
SAC + LSTM,11,False,True,reward_v4,10,True,Checkpoints/POMDP_Ablation/sac_lstm/sac_lstm_seed11_best.pt,9c40f5b27de2dced99cd2fe85e0634fe48e00fbc81b3aa9cda06a65dc380962b
SAC + LSTM,22,False,True,reward_v4,15,True,Checkpoints/POMDP_Ablation/sac_lstm/sac_lstm_seed22_best.pt,6d915dd83bfb8bf26b5f29862732ae610ac181575fcce260fd1f4eac3595fcc2
SAC + LSTM,33,False,True,reward_v4,5,True,Checkpoints/POMDP_Ablation/sac_lstm/sac_lstm_seed33_best.pt,5845360d44741b0bad38b50032ee0ccc998a5eee7c92ca047bcd4ad34298202e
SACSI Full,11,True,True,reward_v4,10,True,Checkpoints/POMDP_Ablation/sacsi_full/sacsi_full_seed11_best.pt,f7334b7143035614558fb80e78b61ddb63a3204ab3420e58dfe118f7b42c8cf7
SACSI Full,22,True,True,reward_v4,10,True,Checkpoints/POMDP_Ablation/sacsi_full/sacsi_full_seed22_best.pt,8af5b9d69e4d1eb7187854f9c3a6575ec1935e0443b5df4f7011202e50497f54
SACSI Full,33,True,True,reward_v4,0,True,Checkpoints/POMDP_Ablation/sacsi_full/sacsi_full_seed33_best.pt,4084a79674549b2645ba263c026409dbaefdfe27c2d6b004f2030e962773c19f
