variant,seed,forecast,memory,evaluation_split,result_status,checkpoint,checkpoint_sha256,checkpoint_validation_gate,total_irrigation_mm,time_in_target_pct,violation_rate_pct,rmse_band,action_smoothness,deficit_rate_pct,surplus_rate_pct,drainage_total_mm,runoff_total_mm,mean_soil_moisture,max_abs_mass_balance_error_mm,cumulative_reward
SAC Basic,11,False,False,retrospective_benchmark_2025,EXPLORATORY_REVALIDATION,Checkpoints/Fair_DRL/SAC/sac_seed11_best.pt,a5b5515ccdd9a325c38790b98bf971365347ffb392f36a54983f16c5e809825c,True,363.9682439863682,54.349315068493155,45.65068493150685,0.022240538324082678,0.014794800039676379,0.0,45.65068493150685,790.3963961208449,0.0,0.31646813600058726,1.4210854715202004e-14,-1635.231336617761
SAC Basic,22,False,False,retrospective_benchmark_2025,EXPLORATORY_REVALIDATION,Checkpoints/Fair_DRL/SAC/sac_seed22_best.pt,be956eea64d7c1922120fcae84bb2052670f37f8787a5cfd7abbdbfac961efc2,True,392.07386296987534,56.038812785388124,43.961187214611876,0.022340921164708424,0.022036449255797945,0.0,43.961187214611876,822.684859684949,0.0,0.3078096569743293,1.4210854715202004e-14,-1097.0804009602289
SAC Basic,33,False,False,retrospective_benchmark_2025,EXPLORATORY_REVALIDATION,Checkpoints/Fair_DRL/SAC/sac_seed33_best.pt,a292da3fa2b0069874f58b9836c9126bcbd61a061960f2e07778558e7fb3efd1,True,344.1287980377674,55.81050228310502,44.18949771689498,0.02194829420035197,0.009286154659116414,0.0,44.18949771689498,773.8239274937941,0.0,0.30655574961914706,1.4210854715202004e-14,-1051.7821780945033
SAC + Forecast,11,True,False,retrospective_benchmark_2025,EXPLORATORY_REVALIDATION,Checkpoints/POMDP_Ablation/sac_forecast/sac_forecast_seed11_best.pt,df130ea1531a496394907ae0f3ad825b915ce08edf95b82b4b01bf621117f6a2,True,363.9682439863682,54.349315068493155,45.65068493150685,0.022240538324082678,0.014794800039676379,0.0,45.65068493150685,790.3963961208449,0.0,0.31646813600058726,1.4210854715202004e-14,-1635.231336617761
SAC + Forecast,22,True,False,retrospective_benchmark_2025,EXPLORATORY_REVALIDATION,Checkpoints/POMDP_Ablation/sac_forecast/sac_forecast_seed22_best.pt,0619d9440dc7ef82d02df4b276454e2a6282a23b681137f1c4f73fac83072aae,True,392.07386296987534,56.038812785388124,43.961187214611876,0.022340921164708424,0.022036449255797945,0.0,43.961187214611876,822.684859684949,0.0,0.3078096569743293,1.4210854715202004e-14,-1097.0804009602289
SAC + Forecast,33,True,False,retrospective_benchmark_2025,EXPLORATORY_REVALIDATION,Checkpoints/POMDP_Ablation/sac_forecast/sac_forecast_seed33_best.pt,9443fb458ed8b143296c51c2809f2f0065b1b7904025725a4fa633009615b9c6,True,296.94811829924583,46.92922374429224,53.07077625570776,0.021888888708009355,0.010558627725314408,11.426940639269406,41.64383561643836,754.3815242112593,0.0,0.2976484540190745,1.4210854715202004e-14,-4259.828234888393
SAC + LSTM,11,False,True,retrospective_benchmark_2025,EXPLORATORY_REVALIDATION,Checkpoints/POMDP_Ablation/sac_lstm/sac_lstm_seed11_best.pt,9c40f5b27de2dced99cd2fe85e0634fe48e00fbc81b3aa9cda06a65dc380962b,True,358.5278112888336,54.31506849315069,45.68493150684931,0.0221851321537325,0.015583264009772078,0.0,45.68493150684931,785.0641442037287,0.0,0.3151082841888618,1.4210854715202004e-14,-1598.837198843259
SAC + LSTM,22,False,True,retrospective_benchmark_2025,EXPLORATORY_REVALIDATION,Checkpoints/POMDP_Ablation/sac_lstm/sac_lstm_seed22_best.pt,6d915dd83bfb8bf26b5f29862732ae610ac181575fcce260fd1f4eac3595fcc2,True,328.461906760931,57.78538812785388,42.214611872146115,0.021561601220485026,0.017688508276825613,0.0,42.214611872146115,761.0195552951214,0.0,0.3048315731829446,1.4210854715202004e-14,-236.25472400763192
SAC + LSTM,33,False,True,retrospective_benchmark_2025,EXPLORATORY_REVALIDATION,Checkpoints/POMDP_Ablation/sac_lstm/sac_lstm_seed33_best.pt,5845360d44741b0bad38b50032ee0ccc998a5eee7c92ca047bcd4ad34298202e,True,326.25818198919296,49.965753424657535,50.034246575342465,0.021837316966593218,0.00959353892208983,6.472602739726027,43.56164383561644,764.0092687093633,0.0,0.3021265214287981,1.4210854715202004e-14,-2623.042760777408
SACSI Full,11,True,True,retrospective_benchmark_2025,EXPLORATORY_REVALIDATION,Checkpoints/POMDP_Ablation/sacsi_full/sacsi_full_seed11_best.pt,f7334b7143035614558fb80e78b61ddb63a3204ab3420e58dfe118f7b42c8cf7,True,358.0689211189747,54.965753424657535,45.034246575342465,0.02213903407786273,0.01732210195191117,0.0,45.034246575342465,784.3496554751598,0.0,0.3143605043323005,1.4210854715202004e-14,-1423.4152295392396
