seed,sequence_length,total_irrigation_mm,time_in_target_pct,violation_rate_pct,rmse_band,action_smoothness,deficit_rate_pct,surplus_rate_pct,drainage_total_mm,runoff_total_mm,mean_soil_moisture,max_abs_mass_balance_error_mm
11,6,351.53235399723053,55.205479452054796,44.794520547945204,0.022071393460812758,0.016339884747897045,0.0,44.794520547945204,778.3227688912651,0.0,0.3130985165200669,1.4210854715202004e-14
11,12,351.71874555945396,55.21689497716895,44.78310502283105,0.02208942229680338,0.017487403467673527,0.0,44.78310502283105,778.227695835528,0.0,0.31314286085921356,1.4210854715202004e-14
11,24,358.0689211189747,54.965753424657535,45.034246575342465,0.02213903407786273,0.01732210195191117,0.0,45.034246575342465,784.3496554751598,0.0,0.3143605043323005,1.4210854715202004e-14
11,48,358.1261323094368,54.73744292237443,45.26255707762557,0.022137047665833083,0.016944945328093267,0.0,45.26255707762557,784.3987578794968,0.0,0.31418757901068367,1.4210854715202004e-14
22,6,384.4193578660488,56.6324200913242,43.3675799086758,0.022196186404227537,0.026278746571765668,0.0,43.3675799086758,815.1174568321151,0.0,0.30669307846405297,2.842170943040401e-14
22,12,389.67992290854454,56.65525114155251,43.34474885844749,0.02223914873966702,0.02876798628753608,0.0,43.34474885844749,819.7716605177778,0.0,0.3064485635330262,1.4210854715202004e-14
22,24,394.6850163936615,56.267123287671225,43.73287671232877,0.022289732404158134,0.029753544723515313,0.0,43.73287671232877,824.3504911951243,0.0,0.3059615287695921,1.4210854715202004e-14
22,48,395.0098748803139,56.49543378995434,43.50456621004567,0.022296141671873472,0.02870096741085769,0.0,43.50456621004567,824.931840481944,0.0,0.3059300989081736,1.4210854715202004e-14
33,6,344.1287980377674,55.81050228310502,44.18949771689498,0.02194829420035197,0.009286154659116414,0.0,44.18949771689498,773.8239274937941,0.0,0.30655574961914706,1.4210854715202004e-14
33,12,344.1287980377674,55.81050228310502,44.18949771689498,0.02194829420035197,0.009286154659116414,0.0,44.18949771689498,773.8239274937941,0.0,0.30655574961914706,1.4210854715202004e-14
33,24,344.1287980377674,55.81050228310502,44.18949771689498,0.02194829420035197,0.009286154659116414,0.0,44.18949771689498,773.8239274937941,0.0,0.30655574961914706,1.4210854715202004e-14
33,48,344.1287980377674,55.81050228310502,44.18949771689498,0.02194829420035197,0.009286154659116414,0.0,44.18949771689498,773.8239274937941,0.0,0.30655574961914706,1.4210854715202004e-14
