experiment_id,experiment_family,module,algorithm_family,model,seed,split,period_start,period_end,reward_version,virtual_garden_version,observation_version,forecast_enabled,memory_enabled,forecast_protocol,forecast_error,forecast_horizon,sequence_length,checkpoint,checkpoint_hash,validation_gate,steps,environment_interactions,training_budget_version,total_water_mm,time_in_target_pct,violation_rate_pct,deficit_rate_pct,surplus_rate_pct,rmse_band,action_smoothness,mean_soil_moisture,runoff_total_mm,drainage_total_mm,reward_mean,mass_balance_error,git_commit,source_result_status,result_status
8H_main_confirmatory_ddpg_seed11,main_confirmatory,8H,DDPG,DDPG,11,retrospective_final_benchmark_2025,2025-01-01 00:00:00,2025-12-31 23:00:00,reward_v4,field_capacity_0.35,current8,False,False,none,,,,Checkpoints/DDPG/ddpg_seed11_best.pt,81881271ec4156996b4edb6c291f85be94d384f237660af8fb8eaf3e254a31f4,False,8760,6720,fair6720,0.0004227459430694,29.8972602739726,70.1027397260274,33.68721461187214,36.41552511415525,0.0312326720670655,5.9305226534710505e-08,0.2714833601776159,0.0,686.2464476807277,-2.97033685587053,1.4210854715202004e-14,not_recorded_at_training,CONFIRMATORY,FROZEN
8H_main_confirmatory_ddpg_seed22,main_confirmatory,8H,DDPG,DDPG,22,retrospective_final_benchmark_2025,2025-01-01 00:00:00,2025-12-31 23:00:00,reward_v4,field_capacity_0.35,current8,False,False,none,,,,Checkpoints/DDPG/ddpg_seed22_best.pt,bcd91561238eb78ae8ad52baac85544a21c79cc99eff484392913c7a9e4297a5,False,8760,6720,fair6720,167.9190529882908,41.05022831050229,58.94977168949772,20.3082191780822,38.641552511415526,0.0269923026810603,0.0108367148797415,0.2879984252246873,0.0,732.8568142458032,-1.6857803161653029,1.4210854715202004e-14,not_recorded_at_training,CONFIRMATORY,FROZEN
8H_main_confirmatory_ddpg_seed33,main_confirmatory,8H,DDPG,DDPG,33,retrospective_final_benchmark_2025,2025-01-01 00:00:00,2025-12-31 23:00:00,reward_v4,field_capacity_0.35,current8,False,False,none,,,,Checkpoints/DDPG/ddpg_seed33_best.pt,6a7fabbee54534745bb8b1a43e196f6019d7f895efd788c75b23feda6f924efe,False,8760,6720,fair6720,0.0002762675285339,29.8972602739726,70.1027397260274,33.68721461187214,36.41552511415525,0.0312326867738357,4.0659636092357466e-08,0.2714833502375605,0.0,686.2464970606827,-2.970339008330557,1.4210854715202004e-14,not_recorded_at_training,CONFIRMATORY,FROZEN
8H_main_confirmatory_ddpg_seed44,main_confirmatory,8H,DDPG,DDPG,44,retrospective_final_benchmark_2025,2025-01-01 00:00:00,2025-12-31 23:00:00,reward_v4,field_capacity_0.35,current8,False,False,none,,,,Checkpoints/DDPG/ddpg_seed44_best.pt,262ab9bc1f3f94023dd9d19d8a6d4166873a90a2f9ac3219f326ae2875790fb4,True,8760,6720,fair6720,333.9664838016033,55.5365296803653,44.4634703196347,0.0,44.4634703196347,0.021865801968489,0.0145540551169439,0.3179261320159777,0.0,761.0993007288388,-0.12427758247251765,1.4210854715202004e-14,not_recorded_at_training,CONFIRMATORY,FROZEN
8H_main_confirmatory_ddpg_seed55,main_confirmatory,8H,DDPG,DDPG,55,retrospective_final_benchmark_2025,2025-01-01 00:00:00,2025-12-31 23:00:00,reward_v4,field_capacity_0.35,current8,False,False,none,,,,Checkpoints/DDPG/ddpg_seed55_best.pt,85c2a567732b28762b6d859be975236f4071ef3bcdfa2fd31d9cb27b19cb01f9,True,8760,6720,fair6720,364.2010018527508,53.60730593607306,46.39269406392694,0.0,46.39269406392694,0.0222316461812485,0.0201711348439885,0.3194541573589446,0.0,791.1577007636931,-0.19777814656903892,1.4210854715202004e-14,not_recorded_at_training,CONFIRMATORY,FROZEN
8H_main_confirmatory_ddpg_seed66,main_confirmatory,8H,DDPG,DDPG,66,retrospective_final_benchmark_2025,2025-01-01 00:00:00,2025-12-31 23:00:00,reward_v4,field_capacity_0.35,current8,False,False,none,,,,Checkpoints/DDPG/ddpg_seed66_best.pt,c998fdb9a177131fc6f2a1fef33b7cb4f9e7786b8df46cc6f1e9883a593b5295,True,8760,6720,fair6720,336.00480845570564,55.03424657534246,44.965753424657535,0.0,44.965753424657535,0.021877295376475,0.0255284491351837,0.3130708393311201,0.0,763.1438283669088,-0.13516283208704113,1.4210854715202004e-14,not_recorded_at_training,CONFIRMATORY,FROZEN
8H_main_confirmatory_ddpg_seed77,main_confirmatory,8H,DDPG,DDPG,77,retrospective_final_benchmark_2025,2025-01-01 00:00:00,2025-12-31 23:00:00,reward_v4,field_capacity_0.35,current8,False,False,none,,,,Checkpoints/DDPG/ddpg_seed77_best.pt,e22394c991c5a25e69a949e5db435ea24db030de6d373b01cb1b31815e40fdcf,True,8760,6720,fair6720,312.98318073153496,58.07077625570777,41.92922374429224,0.0,41.92922374429224,0.0214666581876712,0.016539560147978,0.3054677120437029,0.0,748.9097653563442,-0.013963659155311569,1.4210854715202004e-14,not_recorded_at_training,CONFIRMATORY,FROZEN
8H_main_confirmatory_ddpg_seed88,main_confirmatory,8H,DDPG,DDPG,88,retrospective_final_benchmark_2025,2025-01-01 00:00:00,2025-12-31 23:00:00,reward_v4,field_capacity_0.35,current8,False,False,none,,,,Checkpoints/DDPG/ddpg_seed88_best.pt,92323fd385e46cda48de07c67a13d7540b95ba00f85ad294d2cfa485a6dda5d8,False,8760,6720,fair6720,0.0124639272689819,29.8972602739726,70.1027397260274,33.68721461187214,36.41552511415525,0.0312320529662723,1.4497797188931424e-06,0.2714840586504935,0.0,686.247730104545,-2.9702379534547045,1.4210854715202004e-14,not_recorded_at_training,CONFIRMATORY,FROZEN
8H_main_confirmatory_ddpg_seed99,main_confirmatory,8H,DDPG,DDPG,99,retrospective_final_benchmark_2025,2025-01-01 00:00:00,2025-12-31 23:00:00,reward_v4,field_capacity_0.35,current8,False,False,none,,,,Checkpoints/DDPG/ddpg_seed99_best.pt,269a465058b0bed2f450e8c122a53616d3b4a691b0b0f2c7703da850b54f7ab6,False,8760,6720,fair6720,0.001411885023117,29.8972602739726,70.1027397260274,33.68721461187214,36.41552511415525,0.0312326370589924,2.3215121092732637e-07,0.2714834178551109,0.0,686.2466268271918,-2.9703298300455825,1.4210854715202004e-14,not_recorded_at_training,CONFIRMATORY,FROZEN
8H_main_confirmatory_ddpg_seed110,main_confirmatory,8H,DDPG,DDPG,110,retrospective_final_benchmark_2025,2025-01-01 00:00:00,2025-12-31 23:00:00,reward_v4,field_capacity_0.35,current8,False,False,none,,,,Checkpoints/DDPG/ddpg_seed110_best.pt,9b6a3eb88baebffdd4cb3e1f53121a7f33de9a3007663ad9ed691b9082e31e82,False,8760,6720,fair6720,0.0001868605613708,29.8972602739726,70.1027397260274,33.68721461187214,36.41552511415525,0.0312326877528389,3.4569196878523164e-08,0.2714833443475611,0.0,686.2464548476742,-2.970339327682534,1.4210854715202004e-14,not_recorded_at_training,CONFIRMATORY,FROZEN
8H_main_confirmatory_td3_seed11,main_confirmatory,8H,TD3,TD3,11,retrospective_final_benchmark_2025,2025-01-01 00:00:00,2025-12-31 23:00:00,reward_v4,field_capacity_0.35,current8,False,False,none,,,,Checkpoints/TD3/td3_seed11_best.pt,3ce1c3cd092c72107f3d141a11e66628f47a30020fe9fcd592a321a0f2e2f724,False,8760,6720,fair6720,362.9332956969738,53.53881278538813,46.46118721461187,0.0,46.46118721461187,0.0222617713954794,0.0169168330277328,0.3194911221778379,0.0,790.2942122976892,-0.2093507969724065,2.8421709430404014e-14,not_recorded_at_training,CONFIRMATORY,FROZEN
8H_main_confirmatory_td3_seed22,main_confirmatory,8H,TD3,TD3,22,retrospective_final_benchmark_2025,2025-01-01 00:00:00,2025-12-31 23:00:00,reward_v4,field_capacity_0.35,current8,False,False,none,,,,Checkpoints/TD3/td3_seed22_best.pt,ced943bafa3b4e3fc755f0de7981136338d6ab8b8832e2781ee2da887a3b5b24,True,8760,6720,fair6720,352.46424090862274,54.06392694063927,45.93607305936073,0.0,45.93607305936073,0.0221263411757544,0.0136468182695906,0.3171288521814641,0.0,779.4382707966471,-0.18450239032275212,1.4210854715202004e-14,not_recorded_at_training,CONFIRMATORY,FROZEN
