dataset_path,classification,size_bytes,sha256,upstream_provider,redistribution_license,included_in_publication_package
00_Dataset/Historical Forecast 2021-2025.csv,user_supplied_raw_or_archived,5705188,c6ca4ff3eb9eeb57aa02088814e49c819a5a2197b01575aef290d6c642099035,NOT_RECORDED,NOT_RECORDED,False
00_Dataset/Historical Weather 2021-2025.csv,user_supplied_raw_or_archived,4746740,a7b75905495a78a78238fbff304d220d0c627c58ea2c722faa44c9a769196332,NOT_RECORDED,NOT_RECORDED,False
00_Dataset/Processed/benchmark_2025.csv,processed_derivative,453284,44b5ec6b5fd4ed6beed445f17b821e68e3b9b8f1ab12483e925efbacc2cceb91,NOT_RECORDED,NOT_RECORDED,False
00_Dataset/Processed/data_audit_report.csv,processed_derivative,759,62c16c18e6938fae350ccc06d879e43fdd632b40cb0da511029594c2f52afc48,NOT_RECORDED,NOT_RECORDED,False
00_Dataset/Processed/data_clean.csv,processed_derivative,2267206,a929c8bc8272448379790949a48eb59176e341f17dbc862b748115907e74eec8,NOT_RECORDED,NOT_RECORDED,False
00_Dataset/Processed/forecast_clean.csv,processed_derivative,1504737,b82ecf802491e833408b3353a73cf8f3de6e4d05ba37d8eeb5d3d64a57bba52a,NOT_RECORDED,NOT_RECORDED,False
00_Dataset/Processed/normalizer.json,processed_derivative,646,6eb4565ed9663c93321afb81bfa85ba78fdf00818f5e7ff908b0c66cc523eaab,NOT_RECORDED,NOT_RECORDED,False
00_Dataset/Processed/synthetic_forecast_sf20.csv,controlled_synthetic_forecast_proxy,5007487,7bb0eb4a12a902affc8a85b0046153007d3a2819e2c3227e050e987260f81428,NOT_RECORDED,NOT_RECORDED,False
00_Dataset/Processed/train_2021_2023.csv,processed_derivative,1359635,93034ccbc663078d1b3a75642ca526df890253d2860adef345060b246c0d8ad6,NOT_RECORDED,NOT_RECORDED,False
00_Dataset/Processed/validation_2024.csv,processed_derivative,454511,258e529344456feaa9f771a743d95dff4f10fd32fa0e96d002ec881e936a650b,NOT_RECORDED,NOT_RECORDED,False
